행정구역,연도,구분,인구수
경기도 안산시 상록구 사이동,2020,남+여,32968
경기도 안산시 상록구 사이동,2020,여,16273
경기도 안산시 상록구 사이동,2021,남,16491
경기도 안산시 상록구 사이동,2021,남+여,32581
경기도 안산시 상록구 사이동,2021,여,16090
경기도 안산시 상록구 사이동,2022,남,16102
경기도 안산시 상록구 사이동,2022,남+여,31838
경기도 안산시 상록구 사이동,2022,여,15736
경기도 안산시 상록구 사이동,2023,남,15732
경기도 안산시 상록구 사이동,2023,남+여,31111
경기도 안산시 상록구 사이동,2023,여,15379
경기도 안산시 상록구 사이동,2024,남,15370
경기도 안산시 상록구 사이동,2024,남+여,30362
경기도 안산시 상록구 사이동,2024,여,14992
경기도 안산시 상록구 사이동,2025,남,15018
경기도 안산시 상록구 사이동,2025,남+여,29696
경기도 안산시 상록구 사이동,2025,여,14678
경기도 안산시 상록구 성포동,2016,남,13124
경기도 안산시 상록구 성포동,2016,남+여,26652
경기도 안산시 상록구 성포동,2016,여,13528
경기도 안산시 상록구 성포동,2017,남,13008
경기도 안산시 상록구 성포동,2017,남+여,26387
경기도 안산시 상록구 성포동,2017,여,13379
경기도 안산시 상록구 성포동,2018,남,13684
경기도 안산시 상록구 성포동,2018,남+여,27661
경기도 안산시 상록구 성포동,2018,여,13977
경기도 안산시 상록구 성포동,2019,남,13779
경기도 안산시 상록구 성포동,2019,남+여,27961
경기도 안산시 상록구 성포동,2019,여,14182
경기도 안산시 상록구 성포동,2020,남,13152
경기도 안산시 상록구 성포동,2020,남+여,26833
경기도 안산시 상록구 성포동,2020,여,13681
경기도 안산시 상록구 성포동,2021,남,12847
경기도 안산시 상록구 성포동,2021,남+여,26272
경기도 안산시 상록구 성포동,2021,여,13425
경기도 안산시 상록구 성포동,2022,남,12480
경기도 안산시 상록구 성포동,2022,남+여,25562
경기도 안산시 상록구 성포동,2022,여,13082
경기도 안산시 상록구 성포동,2023,남,12238
경기도 안산시 상록구 성포동,2023,남+여,25096
경기도 안산시 상록구 성포동,2023,여,12858
경기도 안산시 상록구 성포동,2024,남,12038
경기도 안산시 상록구 성포동,2024,남+여,24626
경기도 안산시 상록구 성포동,2024,여,12588
경기도 안산시 상록구 성포동,2025,남,11800
경기도 안산시 상록구 성포동,2025,남+여,24191
경기도 안산시 상록구 성포동,2025,여,12391
경기도 안산시 상록구 안산동,2016,남,5225
경기도 안산시 상록구 안산동,2016,남+여,10079
경기도 안산시 상록구 안산동,2016,여,4854
경기도 안산시 상록구 안산동,2017,남,5160
경기도 안산시 상록구 안산동,2017,남+여,9958
경기도 안산시 상록구 안산동,2017,여,4798
경기도 안산시 상록구 안산동,2018,남,4953
경기도 안산시 상록구 안산동,2018,남+여,9530
경기도 안산시 상록구 안산동,2018,여,4577
경기도 안산시 상록구 안산동,2019,남,4826
경기도 안산시 상록구 안산동,2019,남+여,9301
경기도 안산시 상록구 안산동,2019,여,4475
경기도 안산시 상록구 안산동,2020,남,4752
경기도 안산시 상록구 안산동,2020,남+여,9106
경기도 안산시 상록구 안산동,2020,여,4354
경기도 안산시 상록구 안산동,2021,남,4794
경기도 안산시 상록구 안산동,2021,남+여,9130
경기도 안산시 상록구 안산동,2021,여,4336
경기도 안산시 상록구 안산동,2022,남,4672
경기도 안산시 상록구 안산동,2022,남+여,8898
경기도 안산시 상록구 안산동,2022,여,4226
경기도 안산시 상록구 안산동,2023,남,4568
경기도 안산시 상록구 안산동,2023,남+여,8674
경기도 안산시 상록구 안산동,2023,여,4106
경기도 안산시 상록구 안산동,2024,남,4390
경기도 안산시 상록구 안산동,2024,남+여,8370
경기도 안산시 상록구 안산동,2024,여,3980
경기도 안산시 상록구 안산동,2025,남,4262
경기도 안산시 상록구 안산동,2025,남+여,8094
경기도 안산시 상록구 안산동,2025,여,3832
경기도 안산시 상록구 월피동,2016,남,23218
경기도 안산시 상록구 월피동,2016,남+여,45366
경기도 안산시 상록구 월피동,2016,여,22148
경기도 안산시 상록구 월피동,2017,남,22827
경기도 안산시 상록구 월피동,2017,남+여,44518
경기도 안산시 상록구 월피동,2017,여,21691
경기도 안산시 상록구 월피동,2018,남,21496
경기도 안산시 상록구 월피동,2018,남+여,42080
경기도 안산시 상록구 월피동,2018,여,20584
경기도 안산시 상록구 월피동,2019,남,20543
경기도 안산시 상록구 월피동,2019,남+여,40215
경기도 안산시 상록구 월피동,2019,여,19672
경기도 안산시 상록구 월피동,2020,남,19747
경기도 안산시 상록구 월피동,2020,남+여,38604
경기도 안산시 상록구 월피동,2020,여,18857
경기도 안산시 상록구 월피동,2021,남,19447
경기도 안산시 상록구 월피동,2021,남+여,38102
경기도 안산시 상록구 월피동,2021,여,18655
경기도 안산시 상록구 월피동,2022,남,19166
경기도 안산시 상록구 월피동,2022,남+여,37580
경기도 안산시 상록구 월피동,2022,여,18414
경기도 안산시 상록구 월피동,2023,남,18638
경기도 안산시 상록구 월피동,2023,남+여,36464
경기도 안산시 상록구 월피동,2023,여,17826
경기도 안산시 상록구 월피동,2024,남,18211
경기도 안산시 상록구 월피동,2024,남+여,35574
경기도 안산시 상록구 월피동,2024,여,17363
경기도 안산시 상록구 월피동,2025,남,17893
경기도 안산시 상록구 월피동,2025,남+여,34928
경기도 안산시 상록구 월피동,2025,여,17035
경기도 안산시 상록구 이동,2016,남,15303
경기도 안산시 상록구 이동,2016,남+여,28988
경기도 안산시 상록구 이동,2016,여,13685
경기도 안산시 상록구 이동,2017,남,14998
경기도 안산시 상록구 이동,2017,남+여,28391
경기도 안산시 상록구 이동,2017,여,13393
경기도 안산시 상록구 이동,2018,남,14070
경기도 안산시 상록구 이동,2018,남+여,26527
경기도 안산시 상록구 이동,2018,여,12457
경기도 안산시 상록구 이동,2019,남,13401
경기도 안산시 상록구 이동,2019,남+여,25209
경기도 안산시 상록구 이동,2019,여,11808
경기도 안산시 상록구 이동,2020,남,12811
경기도 안산시 상록구 이동,2020,남+여,23979
경기도 안산시 상록구 이동,2020,여,11168
경기도 안산시 상록구 이동,2021,남,12812
경기도 안산시 상록구 이동,2021,남+여,23874
경기도 안산시 상록구 이동,2021,여,11062
경기도 안산시 상록구 이동,2022,남,12657
경기도 안산시 상록구 이동,2022,남+여,23515
경기도 안산시 상록구 이동,2022,여,10858
경기도 안산시 상록구 이동,2023,남,12336
경기도 안산시 상록구 이동,2023,남+여,22805
경기도 안산시 상록구 이동,2023,여,10469
경기도 안산시 상록구 이동,2024,남,12240
경기도 안산시 상록구 이동,2024,남+여,22498
경기도 안산시 상록구 이동,2024,여,10258
경기도 안산시 상록구 이동,2025,남,12082
경기도 안산시 상록구 이동,2025,남+여,22178
경기도 안산시 상록구 이동,2025,여,10096
경기도 안산시 상록구 일동,2016,남,14340
경기도 안산시 상록구 일동,2016,남+여,28258
경기도 안산시 상록구 일동,2016,여,13918
경기도 안산시 상록구 일동,2017,남,14362
경기도 안산시 상록구 일동,2017,남+여,28311
경기도 안산시 상록구 일동,2017,여,13949
경기도 안산시 상록구 일동,2018,남,13845
경기도 안산시 상록구 일동,2018,남+여,27235
경기도 안산시 상록구 일동,2018,여,13390
경기도 안산시 상록구 일동,2019,남,13276
경기도 안산시 상록구 일동,2019,남+여,26073
경기도 안산시 상록구 일동,2019,여,12797
경기도 안산시 상록구 일동,2020,남,12731
경기도 안산시 상록구 일동,2020,남+여,25009
경기도 안산시 상록구 일동,2020,여,12278
경기도 안산시 상록구 일동,2021,남,12606
경기도 안산시 상록구 일동,2021,남+여,24691
경기도 안산시 상록구 일동,2021,여,12085
경기도 안산시 상록구 일동,2022,남,12444
경기도 안산시 상록구 일동,2022,남+여,24413
경기도 안산시 상록구 일동,2022,여,11969
경기도 안산시 상록구 일동,2023,남,11959
경기도 안산시 상록구 일동,2023,남+여,23444
경기도 안산시 상록구 일동,2023,여,11485
경기도 안산시 상록구 일동,2024,남,11618
경기도 안산시 상록구 일동,2024,남+여,22752
경기도 안산시 상록구 일동,2024,여,11134
경기도 안산시 상록구 일동,2025,남,11419
경기도 안산시 상록구 일동,2025,남+여,22283
경기도 안산시 상록구 일동,2025,여,10864
경기도 안산시 상록구 해양동,2016,남,10278
경기도 안산시 상록구 해양동,2016,남+여,19833
경기도 안산시 상록구 해양동,2016,여,9555
경기도 안산시 상록구 해양동,2017,남,10075
경기도 안산시 상록구 해양동,2017,남+여,19434
경기도 안산시 상록구 해양동,2017,여,9359
경기도 안산시 상록구 해양동,2018,남,9587
경기도 안산시 상록구 해양동,2018,남+여,18618
경기도 안산시 상록구 해양동,2018,여,9031
경기도 안산시 상록구 해양동,2019,남,9448
경기도 안산시 상록구 해양동,2019,남+여,18419
경기도 안산시 상록구 해양동,2019,여,8971
경기도 안산시 상록구 해양동,2020,남,18801
경기도 안산시 상록구 해양동,2020,남+여,37248
경기도 안산시 상록구 해양동,2020,여,18447
경기도 안산시 상록구 해양동,2021,남,20790
경기도 안산시 상록구 해양동,2021,남+여,41279
경기도 안산시 상록구 해양동,2021,여,20489
경기도 안산시 상록구 해양동,2022,남,20716
경기도 안산시 상록구 해양동,2022,남+여,41163
경기도 안산시 상록구 해양동,2022,여,20447
경기도 안산시 상록구 해양동,2023,남,20246
경기도 안산시 상록구 해양동,2023,남+여,40391
경기도 안산시 상록구 해양동,2023,여,20145
경기도 안산시 상록구 해양동,2024,남,19916
경기도 안산시 상록구 해양동,2024,남+여,39748
경기도 안산시 상록구 해양동,2024,여,19832
경기도 안산시 상록구 해양동,2025,남,19669
경기도 안산시 상록구 해양동,2025,남+여,39272
경기도 안산시 상록구 해양동,2025,여,19603
