행정구역,연도,구분,인구수
경기도 안산시 단원구 선부1동,2022,여,8529
경기도 안산시 단원구 선부1동,2023,남,8695
경기도 안산시 단원구 선부1동,2023,남+여,17072
경기도 안산시 단원구 선부1동,2023,여,8377
경기도 안산시 단원구 선부1동,2024,남,8578
경기도 안산시 단원구 선부1동,2024,남+여,16820
경기도 안산시 단원구 선부1동,2024,여,8242
경기도 안산시 단원구 선부1동,2025,남,8420
경기도 안산시 단원구 선부1동,2025,남+여,16610
경기도 안산시 단원구 선부1동,2025,여,8190
경기도 안산시 단원구 선부2동,2016,남,12211
경기도 안산시 단원구 선부2동,2016,남+여,22633
경기도 안산시 단원구 선부2동,2016,여,10422
경기도 안산시 단원구 선부2동,2017,남,11913
경기도 안산시 단원구 선부2동,2017,남+여,21966
경기도 안산시 단원구 선부2동,2017,여,10053
경기도 안산시 단원구 선부2동,2018,남,10997
경기도 안산시 단원구 선부2동,2018,남+여,20252
경기도 안산시 단원구 선부2동,2018,여,9255
경기도 안산시 단원구 선부2동,2019,남,9999
경기도 안산시 단원구 선부2동,2019,남+여,18387
경기도 안산시 단원구 선부2동,2019,여,8388
경기도 안산시 단원구 선부2동,2020,남,8981
경기도 안산시 단원구 선부2동,2020,남+여,16498
경기도 안산시 단원구 선부2동,2020,여,7517
경기도 안산시 단원구 선부2동,2021,남,8620
경기도 안산시 단원구 선부2동,2021,남+여,15948
경기도 안산시 단원구 선부2동,2021,여,7328
경기도 안산시 단원구 선부2동,2022,남,8417
경기도 안산시 단원구 선부2동,2022,남+여,15627
경기도 안산시 단원구 선부2동,2022,여,7210
경기도 안산시 단원구 선부2동,2023,남,7949
경기도 안산시 단원구 선부2동,2023,남+여,14734
경기도 안산시 단원구 선부2동,2023,여,6785
경기도 안산시 단원구 선부2동,2024,남,9190
경기도 안산시 단원구 선부2동,2024,남+여,17258
경기도 안산시 단원구 선부2동,2024,여,8068
경기도 안산시 단원구 선부2동,2025,남,9073
경기도 안산시 단원구 선부2동,2025,남+여,17088
경기도 안산시 단원구 선부2동,2025,여,8015
경기도 안산시 단원구 선부3동,2016,남,18198
경기도 안산시 단원구 선부3동,2016,남+여,35602
경기도 안산시 단원구 선부3동,2016,여,17404
경기도 안산시 단원구 선부3동,2017,남,17965
경기도 안산시 단원구 선부3동,2017,남+여,35177
경기도 안산시 단원구 선부3동,2017,여,17212
경기도 안산시 단원구 선부3동,2018,남,19139
경기도 안산시 단원구 선부3동,2018,남+여,37354
경기도 안산시 단원구 선부3동,2018,여,18215
경기도 안산시 단원구 선부3동,2019,남,18811
경기도 안산시 단원구 선부3동,2019,남+여,36713
경기도 안산시 단원구 선부3동,2019,여,17902
경기도 안산시 단원구 선부3동,2020,남,18143
경기도 안산시 단원구 선부3동,2020,남+여,35320
경기도 안산시 단원구 선부3동,2020,여,17177
경기도 안산시 단원구 선부3동,2021,남,17758
경기도 안산시 단원구 선부3동,2021,남+여,34549
경기도 안산시 단원구 선부3동,2021,여,16791
경기도 안산시 단원구 선부3동,2022,남,17505
경기도 안산시 단원구 선부3동,2022,남+여,34057
경기도 안산시 단원구 선부3동,2022,여,16552
경기도 안산시 단원구 선부3동,2023,남,17004
경기도 안산시 단원구 선부3동,2023,남+여,33122
경기도 안산시 단원구 선부3동,2023,여,16118
경기도 안산시 단원구 선부3동,2024,남,16618
경기도 안산시 단원구 선부3동,2024,남+여,32358
경기도 안산시 단원구 선부3동,2024,여,15740
경기도 안산시 단원구 선부3동,2025,남,16273
경기도 안산시 단원구 선부3동,2025,남+여,31654
경기도 안산시 단원구 선부3동,2025,여,15381
경기도 안산시 단원구 신길동,2016,남,8242
경기도 안산시 단원구 신길동,2016,남+여,16409
경기도 안산시 단원구 신길동,2016,여,8167
경기도 안산시 단원구 신길동,2017,남,13246
경기도 안산시 단원구 신길동,2017,남+여,24889
경기도 안산시 단원구 신길동,2017,여,11643
경기도 안산시 단원구 신길동,2018,남,12771
경기도 안산시 단원구 신길동,2018,남+여,23880
경기도 안산시 단원구 신길동,2018,여,11109
경기도 안산시 단원구 신길동,2019,남,12327
경기도 안산시 단원구 신길동,2019,남+여,23109
경기도 안산시 단원구 신길동,2019,여,10782
경기도 안산시 단원구 신길동,2020,남,12150
경기도 안산시 단원구 신길동,2020,남+여,22665
경기도 안산시 단원구 신길동,2020,여,10515
경기도 안산시 단원구 신길동,2021,남,12061
경기도 안산시 단원구 신길동,2021,남+여,22471
경기도 안산시 단원구 신길동,2021,여,10410
경기도 안산시 단원구 신길동,2022,남,11849
경기도 안산시 단원구 신길동,2022,남+여,22080
경기도 안산시 단원구 신길동,2022,여,10231
경기도 안산시 단원구 신길동,2023,남,11399
경기도 안산시 단원구 신길동,2023,남+여,21222
경기도 안산시 단원구 신길동,2023,여,9823
경기도 안산시 단원구 신길동,2024,남,11182
경기도 안산시 단원구 신길동,2024,남+여,20787
경기도 안산시 단원구 신길동,2024,여,9605
경기도 안산시 단원구 신길동,2025,남,10934
경기도 안산시 단원구 신길동,2025,남+여,20412
경기도 안산시 단원구 신길동,2025,여,9478
경기도 안산시 단원구 와동,2016,남,23489
경기도 안산시 단원구 와동,2016,남+여,44747
경기도 안산시 단원구 와동,2016,여,21258
경기도 안산시 단원구 와동,2017,남,23104
경기도 안산시 단원구 와동,2017,남+여,44010
경기도 안산시 단원구 와동,2017,여,20906
경기도 안산시 단원구 와동,2018,남,21915
경기도 안산시 단원구 와동,2018,남+여,41653
경기도 안산시 단원구 와동,2018,여,19738
경기도 안산시 단원구 와동,2019,남,20983
경기도 안산시 단원구 와동,2019,남+여,39778
경기도 안산시 단원구 와동,2019,여,18795
경기도 안산시 단원구 와동,2020,남,20554
경기도 안산시 단원구 와동,2020,남+여,38957
경기도 안산시 단원구 와동,2020,여,18403
경기도 안산시 단원구 와동,2021,남,20194
경기도 안산시 단원구 와동,2021,남+여,38243
경기도 안산시 단원구 와동,2021,여,18049
경기도 안산시 단원구 와동,2022,남,19904
경기도 안산시 단원구 와동,2022,남+여,37519
경기도 안산시 단원구 와동,2022,여,17615
경기도 안산시 단원구 와동,2023,남,19542
경기도 안산시 단원구 와동,2023,남+여,36697
경기도 안산시 단원구 와동,2023,여,17155
경기도 안산시 단원구 와동,2024,남,19028
경기도 안산시 단원구 와동,2024,남+여,35711
경기도 안산시 단원구 와동,2024,여,16683
경기도 안산시 단원구 와동,2025,남,18681
경기도 안산시 단원구 와동,2025,남+여,35023
경기도 안산시 단원구 와동,2025,여,16342
경기도 안산시 단원구 원곡동,2016,남,17880
경기도 안산시 단원구 원곡동,2016,남+여,33004
경기도 안산시 단원구 원곡동,2016,여,15124
경기도 안산시 단원구 원곡동,2017,남,4503
경기도 안산시 단원구 원곡동,2017,남+여,7704
경기도 안산시 단원구 원곡동,2017,여,3201
경기도 안산시 단원구 원곡동,2018,남,4096
경기도 안산시 단원구 원곡동,2018,남+여,7084
경기도 안산시 단원구 원곡동,2018,여,2988
